"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","null","html-keyboard-response","226","346193","0.0-1.0-1.112","null","","","","","","Correct!"
"","751","canvas-keyboard-response","227","347454","0.0-1.0-0.113","f","true","30","false","response","true",""
"","null","html-keyboard-response","228","348967","0.0-1.0-1.113","null","","","","","","Correct!"
"","1013","canvas-keyboard-response","229","350486","0.0-1.0-0.114","f","true","20","true","response","true",""
"","null","html-keyboard-response","230","352001","0.0-1.0-1.114","null","","","","","","Correct!"
"","643","canvas-keyboard-response","231","353157","0.0-1.0-0.115","j","false","20","false","response","true",""
"","null","html-keyboard-response","232","354673","0.0-1.0-1.115","null","","","","","","Correct!"
"","674","canvas-keyboard-response","233","355857","0.0-1.0-0.116","j","false","10","false","response","true",""
"","null","html-keyboard-response","234","357377","0.0-1.0-1.116","null","","","","","","Correct!"
"","696","canvas-keyboard-response","235","358586","0.0-1.0-0.117","j","false","30","false","response","true",""
"","null","html-keyboard-response","236","360105","0.0-1.0-1.117","null","","","","","","Correct!"
"","834","canvas-keyboard-response","237","361451","0.0-1.0-0.118","f","true","40","true","response","true",""
"","null","html-keyboard-response","238","362969","0.0-1.0-1.118","null","","","","","","Correct!"
"","711","canvas-keyboard-response","239","364193","0.0-1.0-0.119","j","false","40","false","response","true",""
"","null","html-keyboard-response","240","365708","0.0-1.0-1.119","null","","","","","","Correct!"
"","1309","canvas-keyboard-response","241","367528","0.0-1.0-0.120","j","false","20","true","response","true",""
"","null","html-keyboard-response","242","369041","0.0-1.0-1.120","null","","","","","","Correct!"
"","1244","canvas-keyboard-response","243","370795","0.0-1.0-0.121","j","true","40","true","response","false",""
"","null","html-keyboard-response","244","372312","0.0-1.0-1.121","null","","","","","","Wrong"
"","1482","canvas-keyboard-response","245","374307","0.0-1.0-0.122","f","true","10","true","response","true",""
"","null","html-keyboard-response","246","375820","0.0-1.0-1.122","null","","","","","","Correct!"
"","947","canvas-keyboard-response","247","377275","0.0-1.0-0.123","f","true","20","true","response","true",""
"","null","html-keyboard-response","248","378792","0.0-1.0-1.123","null","","","","","","Correct!"
"","732","canvas-keyboard-response","249","380037","0.0-1.0-0.124","j","false","30","false","response","true",""
"","null","html-keyboard-response","250","381552","0.0-1.0-1.124","null","","","","","","Correct!"
"","941","canvas-keyboard-response","251","383006","0.0-1.0-0.125","j","false","20","false","response","true",""
"","null","html-keyboard-response","252","384516","0.0-1.0-1.125","null","","","","","","Correct!"
"","846","canvas-keyboard-response","253","385871","0.0-1.0-0.126","f","true","40","true","response","true",""
"","null","html-keyboard-response","254","387390","0.0-1.0-1.126","null","","","","","","Correct!"
"","901","canvas-keyboard-response","255","388795","0.0-1.0-0.127","f","true","20","true","response","true",""
"","null","html-keyboard-response","256","390312","0.0-1.0-1.127","null","","","","","","Correct!"
"","582","canvas-keyboard-response","257","391407","0.0-1.0-0.128","f","true","40","false","response","true",""
"","null","html-keyboard-response","258","392920","0.0-1.0-1.128","null","","","","","","Correct!"
"","694","canvas-keyboard-response","259","394121","0.0-1.0-0.129","j","false","40","true","response","true",""
"","null","html-keyboard-response","260","395636","0.0-1.0-1.129","null","","","","","","Correct!"
"","540","canvas-keyboard-response","261","396685","0.0-1.0-0.130","f","true","10","false","response","true",""
"","null","html-keyboard-response","262","398200","0.0-1.0-1.130","null","","","","","","Correct!"
"","765","canvas-keyboard-response","263","399477","0.0-1.0-0.131","j","false","20","true","response","true",""
"","null","html-keyboard-response","264","400991","0.0-1.0-1.131","null","","","","","","Correct!"
"","554","canvas-keyboard-response","265","402058","0.0-1.0-0.132","j","false","10","true","response","true",""
"","null","html-keyboard-response","266","403575","0.0-1.0-1.132","null","","","","","","Correct!"
"","462","canvas-keyboard-response","267","404546","0.0-1.0-0.133","f","true","10","false","response","true",""
"","null","html-keyboard-response","268","406063","0.0-1.0-1.133","null","","","","","","Correct!"
"","699","canvas-keyboard-response","269","407276","0.0-1.0-0.134","j","false","10","true","response","true",""
"","null","html-keyboard-response","270","408791","0.0-1.0-1.134","null","","","","","","Correct!"
"","852","canvas-keyboard-response","271","410156","0.0-1.0-0.135","j","false","20","false","response","true",""
"","null","html-keyboard-response","272","411671","0.0-1.0-1.135","null","","","","","","Correct!"
"","582","canvas-keyboard-response","273","412766","0.0-1.0-0.136","j","false","20","false","response","true",""
"","null","html-keyboard-response","274","414287","0.0-1.0-1.136","null","","","","","","Correct!"
"","786","canvas-keyboard-response","275","415586","0.0-1.0-0.137","j","false","40","false","response","true",""
"","null","html-keyboard-response","276","417100","0.0-1.0-1.137","null","","","","","","Correct!"
"","831","canvas-keyboard-response","277","418435","0.0-1.0-0.138","j","true","30","true","response","false",""
"","null","html-keyboard-response","278","419951","0.0-1.0-1.138","null","","","","","","Wrong"
"","598","canvas-keyboard-response","279","421061","0.0-1.0-0.139","f","true","40","false","response","true",""
"","null","html-keyboard-response","280","422575","0.0-1.0-1.139","null","","","","","","Correct!"
"","657","canvas-keyboard-response","281","423744","0.0-1.0-0.140","j","false","30","false","response","true",""
"","null","html-keyboard-response","282","425263","0.0-1.0-1.140","null","","","","","","Correct!"
"","1181","canvas-keyboard-response","283","426956","0.0-1.0-0.141","f","true","30","true","response","true",""
"","null","html-keyboard-response","284","428468","0.0-1.0-1.141","null","","","","","","Correct!"
"","651","canvas-keyboard-response","285","429628","0.0-1.0-0.142","j","false","20","false","response","true",""
"","null","html-keyboard-response","286","431138","0.0-1.0-1.142","null","","","","","","Correct!"
"","469","canvas-keyboard-response","287","432116","0.0-1.0-0.143","f","true","40","false","response","true",""
"","null","html-keyboard-response","288","433631","0.0-1.0-1.143","null","","","","","","Correct!"
"","497","canvas-keyboard-response","289","434640","0.0-1.0-0.144","j","false","40","false","response","true",""
"","null","html-keyboard-response","290","436157","0.0-1.0-1.144","null","","","","","","Correct!"
"","467","canvas-keyboard-response","291","437126","0.0-1.0-0.145","f","true","20","true","response","true",""
"","null","html-keyboard-response","292","438643","0.0-1.0-1.145","null","","","","","","Correct!"
"","531","canvas-keyboard-response","293","439677","0.0-1.0-0.146","j","false","40","false","response","true",""
"","836","html-keyboard-response","294","441026","0.0-1.0-1.146","j","","","","","","Correct!"
"","1080","canvas-keyboard-response","295","442614","0.0-1.0-0.147","j","false","30","true","response","true",""
"","null","html-keyboard-response","296","444132","0.0-1.0-1.147","null","","","","","","Correct!"
"","498","canvas-keyboard-response","297","445137","0.0-1.0-0.148","f","true","10","false","response","true",""
"","null","html-keyboard-response","298","446650","0.0-1.0-1.148","null","","","","","","Correct!"
"","524","canvas-keyboard-response","299","447684","0.0-1.0-0.149","j","false","30","false","response","true",""
"","null","html-keyboard-response","300","449198","0.0-1.0-1.149","null","","","","","","Correct!"
"","409","canvas-keyboard-response","301","450116","0.0-1.0-0.150","f","false","10","true","response","false",""
"","null","html-keyboard-response","302","451629","0.0-1.0-1.150","null","","","","","","Wrong"
"","612","canvas-keyboard-response","303","452754","0.0-1.0-0.151","j","false","30","false","response","true",""
